,Name,Photo,Flag,Club Logo
56, Reinier,https://cdn.sofifa.com/players/254/544/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/243/light_30.png
57, H. Ziyech,https://cdn.sofifa.com/players/208/670/20_60.png,https://cdn.sofifa.com/flags/ma.png,https://cdn.sofifa.com/teams/245/light_30.png
58, A. Hložek,https://cdn.sofifa.com/players/246/618/20_60.png,https://cdn.sofifa.com/flags/cz.png,https://cdn.sofifa.com/teams/267/light_30.png
59, Cristiano Ronaldo,https://cdn.sofifa.com/players/020/801/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/45/light_30.png
60, B. Kamara,https://cdn.sofifa.com/players/236/987/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/219/light_30.png
61, L. Martínez,https://cdn.sofifa.com/players/231/478/20_60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/44/light_30.png
62, B. Soumaré,https://cdn.sofifa.com/players/239/817/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/65/light_30.png
63, Bruno Fernandes,https://cdn.sofifa.com/players/212/198/20_60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/11/light_30.png
64, Eric García,https://cdn.sofifa.com/players/245/037/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/10/light_30.png
65, T. Werner,https://cdn.sofifa.com/players/212/188/20_60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/112172/light_30.png
66, I. Sarr,https://cdn.sofifa.com/players/235/353/20_60.png,https://cdn.sofifa.com/flags/sn.png,https://cdn.sofifa.com/teams/1795/light_30.png
67, Thiago,https://cdn.sofifa.com/players/189/509/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/21/light_30.png
68, Vinícius Jr.,https://cdn.sofifa.com/players/238/794/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/243/light_30.png
69, M. Kean,https://cdn.sofifa.com/players/236/610/20_60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/7/light_30.png
70, R. James,https://cdn.sofifa.com/players/238/074/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/5/light_30.png
71, J. Kimmich,https://cdn.sofifa.com/players/212/622/20_60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/21/light_30.png
72, M. Aarons,https://cdn.sofifa.com/players/240/060/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1792/light_30.png
73, Rodrygo,https://cdn.sofifa.com/players/243/812/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/243/light_30.png
74, F. Valverde,https://cdn.sofifa.com/players/239/053/20_60.png,https://cdn.sofifa.com/flags/uy.png,https://cdn.sofifa.com/teams/243/light_30.png
75, B. Williams,https://cdn.sofifa.com/players/243/414/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/11/light_30.png
76, T. Kubo,https://cdn.sofifa.com/players/237/681/20_60.png,https://cdn.sofifa.com/flags/jp.png,https://cdn.sofifa.com/teams/453/light_30.png
77, M. Mount,https://cdn.sofifa.com/players/233/064/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/5/light_30.png
78, J. Gvardiol,https://cdn.sofifa.com/players/251/517/20_60.png,https://cdn.sofifa.com/flags/hr.png,https://cdn.sofifa.com/teams/211/light_30.png
79, J. Doku,https://cdn.sofifa.com/players/246/420/20_60.png,https://cdn.sofifa.com/flags/be.png,https://cdn.sofifa.com/teams/229/light_30.png
80, J. King,https://cdn.sofifa.com/players/185/422/20_60.png,https://cdn.sofifa.com/flags/no.png,https://cdn.sofifa.com/teams/1943/light_30.png
81, D. Calvert-Lewin,https://cdn.sofifa.com/players/221/479/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/7/light_30.png
