,ID,Name,Photo,Flag,Club Logo
54,235735, E. Ampadu,https://cdn.sofifa.com/players/235/735/20_60.png,https://cdn.sofifa.com/flags/gb-wls.png,https://cdn.sofifa.com/teams/112172/light_30.png
55,213956, Adama Traoré,https://cdn.sofifa.com/players/213/956/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/110/light_30.png
56,209425, 19 A. Hsissane,https://cdn.sofifa.com/players/209/425/19_60.png,https://cdn.sofifa.com/flags/ma.png,https://cdn.sofifa.com/teams/224/light_30.png
57,212622, J. Kimmich,https://cdn.sofifa.com/players/212/622/20_60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/21/light_30.png
58,242816, Riqui Puig,https://cdn.sofifa.com/players/242/816/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/241/light_30.png
59,243715, W. Saliba,https://cdn.sofifa.com/players/243/715/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/1819/light_30.png
60,231478, L. Martínez,https://cdn.sofifa.com/players/231/478/20_60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/44/light_30.png
61,203376, V. van Dijk,https://cdn.sofifa.com/players/203/376/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/9/light_30.png
62,221697, O. Watkins,https://cdn.sofifa.com/players/221/697/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1925/light_30.png
63,245371, T. Almada,https://cdn.sofifa.com/players/245/371/20_60.png,https://cdn.sofifa.com/flags/ar.png,https://cdn.sofifa.com/teams/101088/light_30.png
64,248808, A. Hickey,https://cdn.sofifa.com/players/248/808/20_60.png,https://cdn.sofifa.com/flags/gb-sct.png,https://cdn.sofifa.com/teams/80/light_30.png
